metabolite	iCdG700_sim	Cd630_biolog	iCdR700_sim	CdR20291_biolog
cpd00383	0	1	0	1
cpd00162	0	1	0	1
cpd00438	0	1	0	1
cpd00654	0	1	0	1
cpd00277	0	1	0	1
cpd03279	0	1	0	1
cpd00412	0	1	0	1
cpd00136	0	1	0	1
cpd00339	0	1	0	1
cpd00027	0	1	0	1
cpd00208	0	1	0	1
cpd03561	0	1	0	1
cpd00029	0	1	0	1
cpd00142	0	0	0	1
cpd00182	0	1	0	1
cpd00152	0	1	0	1
cpd29695	0	1	0	1
cpd29696	0	0	0	0
cpd11586	0	0	0	1
cpd29694	0	1	0	1
cpd29697	0	0	0	1
cpd29698	0	1	0	1
cpd11582	0	1	0	1
cpd03697	0	1	0	1
cpd00085	0	1	0	1
cpd00211	0	1	0	1
cpd00098	0	1	0	1
cpd00137	0	0	0	0
cpd00424	0	1	0	1
cpd00367	0	1	0	1
cpd00307	0	1	0	1
cpd00731	0	1	0	1
cpd29694	0	1	0	1
cpd29698	0	1	0	1
cpd00117	0	1	0	1
cpd00339	0	1	0	1
cpd00320	0	1	0	1
cpd00158	0	1	0	1
cpd00082	0	1	0	1
cpd00072	0	1	0	1
cpd00108	0	1	0	0
cpd00276	0	1	0	1
cpd00089	0	1	0	1
cpd00079	0	1	0	1
cpd00186	0	1	0	1
cpd00314	0	1	0	1
cpd00138	0	1	0	1
cpd05161	0	1	0	1
cpd00637	0	1	0	1
cpd00644	0	1	0	1
cpd00105	0	1	0	1
cpd00588	0	1	0	1
cpd00161	0	1	0	1
cpd00794	0	1	0	1
cpd00154	0	1	0	1
cpd00080	0	1	0	1
cpd00504	0	1	0	1
cpd00130	0	0	0	0
cpd00393	0	1	0	1
cpd00378	0	1	0	1
cpd00047	0	1	0	1
cpd00106	0	0	0	1
cpd00281	0	1	0	1
cpd03561	0	1	0	1
cpd00042	0	1	0	1
cpd11581	0	1	0	1
cpd15603	0	0	0	1
cpd29691	0	1	0	0
cpd11592	0	1	0	1
cpd15604	0	1	0	1
cpd29693	0	1	0	1
cpd11588	0	1	0	1
cpd00100	0	0	0	1
cpd00033	0	0	0	1
cpd00155	0	1	0	1
cpd00139	0	1	0	1
cpd00207	0	1	0	1
cpd00311	0	1	0	1
cpd29317	0	1	0	1
cpd00165	0	1	0	1
cpd00226	0	1	0	1
cpd00246	0	1	0	1
cpd00035	0	1	0	1
cpd00224	0	0	0	0
cpd00051	0	1	0	1
cpd00132	0	1	0	1
cpd00041	0	1	0	1
cpd00274	0	1	0	1
cpd00395	0	1	0	1
cpd00084	0	1	0	1
cpd00751	0	1	0	0
cpd00023	0	1	0	1
cpd00053	0	1	0	0
cpd00119	0	1	0	1
cpd00227	0	1	0	1
cpd00322	0	1	0	1
cpd00159	0	1	0	1
cpd00107	0	1	0	1
cpd00039	0	1	0	1
cpd00130	0	1	0	1
cpd00060	0	1	0	1
cpd00064	0	1	0	1
cpd00066	0	1	0	1
cpd00129	0	1	0	1
cpd00054	0	1	0	1
cpd00161	0	1	0	1
cpd00065	0	1	0	1
cpd00069	0	1	0	0
cpd00156	0	1	0	1
cpd00489	0	0	0	1
cpd00121	0	1	0	1
cpd00179	0	1	0	1
cpd29700	0	1	0	1
cpd27607	0	1	0	1
cpd00122	0	1	0	1
cpd00492	0	1	0	1
cpd00477	0	1	0	1
cpd00232	0	1	0	1
cpd00075	0	0	0	0
cpd00738	0	1	0	1
cpd08928	0	1	0	1
cpd00247	0	1	0	1
cpd00443	0	1	0	1
cpd00489	0	0	0	1
cpd00009	0	1	0	1
cpd00457	0	1	0	1
cpd00141	0	1	0	1
cpd00118	0	1	0	1
cpd00215	0	1	0	1
cpd00020	0	1	0	1
cpd00220	0	1	0	1
cpd01030	0	1	0	1
cpd00036	0	1	0	0
cpd00076	0	1	0	1
cpd00210	0	1	0	1
cpd03047	0	1	0	1
cpd00305	0	1	0	1
cpd00793	0	1	0	1
cpd00184	0	1	0	1
cpd00151	0	1	0	1
cpd20885	0	1	0	1
cpd00374	0	1	0	1
cpd00092	0	1	0	1
cpd00300	0	1	0	1
cpd00249	0	1	0	1
cpd00309	0	1	0	1
cpd01217	0	1	0	1
